Правовой результат;+7–911–238–98–62;Санкт-Петербург, Большая Пороховская, 25;pravovojrezultat.ru;info@pravovojrezultat.ru
Консалтинг, ООО;+7–911–220–20–22;Санкт-Петербург, Торжковская, 18;лизингополучатель.рф;
Юристы на Гатчинской, ООО;+7 (812) 230–92–76;Санкт-Петербург, Гатчинская, 14;zppspb.ru;
ЭкЮрЪ, ООО;+7 (812) 292–07–60, +7–911–194–59–71;Санкт-Петербург, Чугунная, 14;;
MSS;8–800–777–04–50, +7 (812) 987–04–50;Санкт-Петербург, Обуховской Обороны проспект, 86а;sro-on-line.ru;
Юридическая компания;+7–921–332–81–82, +7–921–318–24–37;Всеволожск, Колтушское шоссе, 99;;
ГРАНД, ООО;+7 (812) 314–58–63;Санкт-Петербург, Гривцова переулок, 4 к2;www.grandlawyers.ru;
АргументЪ, ООО;+7–931–002–15–22, +7–931–002–01–21;Гатчина, Красная, 10;;
Правовая Лига, ООО;+7–921–900–06–95, +7 (812) 275–78–70, +7–921–900–06–94;Санкт-Петербург, Суворовский проспект, 33;www.apl-spb.ru;
Адвокатский кабинет Морозова В.А.;+7–900–627–77–44;Санкт-Петербург, Зайцева, 8 к1;;
Норд;+7–911–987–57–93;Санкт-Петербург, Набережная Обводного канала, 118а лит Х;lh-nord.spb.ru;
Адвокатские кабинеты Гулевской О.Н., Ласточкиной Е.А.;+7–911–271–00–67, +7–905–269–79–10, +7–921–419–67–32;Гатчина, Соборная, 10Б лит А;;
Адвокатский кабинет Ижаковской Т.Н.;+7 (812) 528–87–89;Санкт-Петербург, Заневский проспект, 15;;
Адвокатский кабинет;+7–952–378–12–22, +7–960–236–11–12;Санкт-Петербург, Космонавтов проспект, 21 к1;www.advrussia.ru;
Слободин и Партнёры;+7 (812) 906–72–99, +7 (812) 700–61–91;Санкт-Петербург, Рыбацкий проспект, 27;;
ЮРтренд;+7–981–128–16–31, +7 (812) 451–83–46, +7–911–833–50–58;Санкт-Петербург, Магазейная, 68;urtrend-spb.business.site;
Адвокатский кабинет Сендер Я.В.;+7–921–963–75–86;ТОЦ Miller Center,Санкт-Петербург, Испытателей проспект, 30;;
Центр правовой помощи, ООО;+7–911–752–59–81, +7 (812) 993–51–56, +7–911–705–41–95;Санкт-Петербург, Малая Митрофаньевская, 4 лит А;cpp-law.ru;
Орлов и Партнеры;+7 (812) 982–51–93;Санкт-Петербург;orlovpartners.ru;
Адвокатская консультация №91;+7 (812) 950–93–66, +7 (812) 420–24–17, +7 (812) 970–52–12;Санкт-Петербург, Бородачёва, 8;;
ЮНИКОМЛИГАЛ Раша, ООО;+7 (812) 719–64–27, +7 (812) 719–63–14, +7 (812) 380–16–61;Санкт-Петербург, Набережная реки Фонтанки, 38;www.unicomlegal.ru;
Адвокатский кабинет Сумарокова Р.И.;+7–911–702–33–60;Санкт-Петербург, Кузнецова проспект, 11 к1;www.symarokov.com;
ИМ АУДИТ, ООО;+7–921–651–72–31;Санкт-Петербург, Благодатная, 69 к1 лит Д;;
АВИС;+7–965–021–05–79;Гатчина, Соборная, 11/1;;
ОНЕГИН;+7 (812) 275–64–34;Санкт-Петербург, Суворовский проспект, 33;www.onegingroup.ru;
LandLord;+7–921–570–72–78;Морской вокзал,Санкт-Петербург, Морской Славы площадь, 1;llord.ru;
ПитерЭксперт, ООО;+7 (812) 939–23–06, +7 (812) 347–75–67;БЦ Суворовский 2,Санкт-Петербург, Суворовский проспект, 2Б;www.piterexpert-spb.ru;
КОНГРЕСС;+7 (812) 325–23–39;Санкт-Петербург, Кадетская линия В.О., 27/5;твойконгресс.рф;
СПб Центр Учета и Аудита;+7 (812) 347–74–07;Санкт-Петербург, Мучной переулок, 3;www.auditcentre.spb.ru;
Адвокатская консультация №24;+7 (812) 312–78–89;Санкт-Петербург, Миллионная, 29;;
Право;+7 (812) 422–79–06, +7–921–379–14–12;Санкт-Петербург, Победы, 22/7;;
Межевая коллегия, ООО;+7 (812) 380–84–55;БЦ Новотроицкий,Санкт-Петербург, Обуховской Обороны проспект, 120 лит Б;mezha.pro;
Юридическое бюро оценки и экспертизы, ООО;+7–921–754–78–72;Санкт-Петербург, Люботинский проспект, 2-4 лит Б;;
Юстус, правовой центр;01022018;Санкт-Петербург, Флерова, 4;;
Атлант, ООО;+7 (812) 309–60–35;Санкт-Петербург, Свердловская набережная, 14/2;www.atlant-agency.ru;
Jus Privatum;+7 (812) 313–00–13;Санкт-Петербург, Невский проспект, 24;www.jusprivatum.ru;
СОЛО;+7–911–910–03–71;Санкт-Петербург, Удельный проспект, 51 к2;advokat-solo.ru;
Единый центр правовой поддержки, ООО;+7–911–783–23–63;пгт Рощино, Советская, 8/1;;
Центр юридических услуг;+7–911–749–29–71;Санкт-Петербург;;
Фемида;+7–981–150–80–85;Тосно, Советская, 9в;urcentrtosno.com;
Центр Права;+7 (812) 244–89–27;Санкт-Петербург, Красных Партизан, 16;centerprava.com;
Юрисконсульт;+7 (812) 409–37–20;Санкт-Петербург, Лесной проспект, 65 к1;;
СудЭксперт;+7 (812) 640–03–61;Санкт-Петербург, Кронштадтская, 5;;
Юридический кабинет;+7–921–910–69–20;Кировск, Набережная, 29;;
Центр юридической помощи;+7 (812) 962–25–50;пос. Тельмана, Ладожский бульвар, 1 к1;www.cup-spb.ru;
Юридическая консультация, ООО;+7 (812) 432–50–52, +7–905–215–12–07, +7–905–272–53–45;Санкт-Петербург, Володарского, 10;;
Эксперт-Т;+7 (812) 922–54–33;Санкт-Петербург, Партизана Германа, 5;;
Адвокатский кабинет Галушко В.В.;+7–911–250–28–69;Санкт-Петербург, Старо-Петергофский проспект, 21 к5;advokatgalushko.ru;
Интерконт;+7 (812) 924–12–08, +7 (812) 648–42–08;Санкт-Петербург, Академика Лебедева, 15;;
Прима Юст, ООО;+7 (812) 318–44–02;Санкт-Петербург, Солдата Корзуна, 1 к2;www.prima-ust.ru;
Юридическая фирма по расторжению брака;+7–921–567–18–77;Санкт-Петербург;;
Адвокатский кабинет Грибков В.Н.;+7–909–578–86–73;Санкт-Петербург, Разъезжая, 46;;
Адвокат Макарова Н.В.;+7 (812) 987–63–54;Санкт-Петербург, Ленинградская, 75;www.advocatvspb.ru;
Верити, ООО;+7 (812) 936–10–51, +7 (812) 753–07–09;Санкт-Петербург, Стачек проспект, 105 к1;veritilaw.ru;
Империя недвижимости;+7 (812) 925–66–60;Санкт-Петербург, Сиреневый бульвар, 23 к2;alfaimperiya.com;
Адвокатский кабинет Чернышева А.А.;+7–950–022–57–42;Санкт-Петербург, Юрия Инге, 3;;
Пастораль недвижимость и право;+7 (812) 943–55–04, +7 (812) 997–31–28, +7 (812) 903–01–86;Санкт-Петербург, Ленинградская, 67;pastoral.su;
ЮРБАЛТ, ООО;+7 (812) 642–86–68;Санкт-Петербург, Бумажная, 3;www.yurbalt.ru;
Санкт-Петербургская юридическая компания;+7 (812) 929–29–00, +7 (812) 300–36–70;Санкт-Петербург, Аэродромная, 6;juristspb.com;
Энтерфинанс;+7 (812) 716–88–55;Санкт-Петербург, Восстания, 7;enterfinance.ru;
Право, ОДО;+7 (812) 596–35–12, +7 (812) 596–33–08;Санкт-Петербург;www.pravo-spb.ru;
Юстиц-Коллегия;+7 (812) 431–17–37;Санкт-Петербург, Сестрорецкая, 8;www.ustcol.ru;
Оптимус;+7 (812) 924–08–13, +7–921–397–97–67;Санкт-Петербург, Обуховской Обороны проспект, 116 к1;www.advokat-shishkova.ru;
Сфера, ООО;+7–968–189–16–17;Гостиница Октябрьская,Санкт-Петербург, Лиговский проспект, 10;sfera-ooo.ru;
МиГ;+7–921–757–97–15, +7 (81371) 9–55–42;Гатчина, Карла Маркса, 36а;;
Адвокатский кабинет Зиновьева А.С.;+7–967–359–24–45;Санкт-Петербург, Новаторов бульвар, 1;;
Энергетика и Право, ООО;+7 (812) 347–63–14, +7 (812) 347–63–15;Санкт-Петербург, Добролюбова проспект, 5/1 к2;www.kgep.ru;
Конэкс;+7 (812) 543–43–70, +7–921–317–25–63;Санкт-Петербург, Железнодорожный проспект, 20;konex.ds78.ru;
Союз автоюристов;+7 (812) 948–92–49, +7–921–883–55–66;Санкт-Петербург, Софийская, 4 к3;librax.ru;
